File Name,Status,Score,Triggered Flags
file_0_bfsvc.exe,BENIGN,6.39,"F1, F3, F6, F9"
file_100_Microsoft.VisualBasic.Compatibility.dll,BENIGN,-3.09,"F1, F3, F9"
file_101_Microsoft.VisualBasic.Compatibility.Data.dll,BENIGN,-2.45,"F1, F3, F9"
file_102_Microsoft.VisualBasic.Vsa.dll,BENIGN,-10.0,"F1, F9"
file_103_Microsoft.VisualC.Dll,BENIGN,-10.0,"F1, F9"
file_104_Microsoft.VisualC.STLCLR.dll,BENIGN,-10.0,"F1, F9"
file_105_Microsoft.Vsa.dll,BENIGN,-3.09,"F1, F3, F9"
file_106_Microsoft.Vsa.Vb.CodeDOMProcessor.dll,BENIGN,-3.12,"F1, F3, F9"
file_107_Microsoft.WSMan.Management.dll,BENIGN,4.9,"F3, F9, F11"
file_108_Microsoft.WSMan.Management.resources.dll,BENIGN,-10.0,"F1, F9"
file_109_Microsoft.WSMan.Runtime.dll,BENIGN,-10.0,"F1, F9"
file_10_winhlp32.exe,BENIGN,-3.13,"F1, F3, F9"
file_110_Microsoft_VsaVb.dll,BENIGN,-10.0,"F1, F9"
file_111_MMCEx.dll,BENIGN,4.03,"F3, F9, F11"
file_112_MMCEx.Resources.dll,BENIGN,-10.0,"F1, F9"
file_113_MMCFxCommon.dll,BENIGN,-2.39,"F1, F3, F9"
file_114_MMCFxCommon.Resources.dll,BENIGN,-10.0,"F1, F9"
file_115_PresentationBuildTasks.dll,BENIGN,4.47,"F3, F9, F11"
file_116_PresentationCFFRasterizer.dll,BENIGN,-10.0,"F1, F9"
file_117_PresentationFontCache.exe,BENIGN,-10.0,"F1, F9"
file_118_PresentationFramework.dll,BENIGN,5.5,"F3, F9, F11"
file_119_PresentationFramework.Aero.dll,BENIGN,4.86,"F3, F9, F11"
file_11_write.exe,BENIGN,-1.6,"F1, F6, F9"
file_120_PresentationFramework.Classic.dll,BENIGN,5.22,"F3, F9, F11"
file_121_PresentationFramework.Luna.dll,BENIGN,5.97,"F3, F9, F11"
file_122_PresentationFramework.Royale.dll,BENIGN,4.99,"F3, F9, F11"
file_123_PresentationUI.dll,BENIGN,8.29,"F3, F9, F11"
file_124_ReachFramework.dll,BENIGN,5.25,"F3, F9, F11"
file_125_Sentinel.v3.5Client.dll,BENIGN,-10.0,"F1, F9"
file_126_SMdiagnostics.dll,BENIGN,-2.12,"F1, F3, F9"
file_127_SMSvcHost.exe,BENIGN,-2.76,"F1, F3, F9"
file_128_sysglobl.dll,BENIGN,-2.92,"F1, F3, F9"
file_129_System.dll,BENIGN,5.48,"F3, F9, F11"
file_12_pyshellext.amd64.dll,BENIGN,44.6,"F3, F6, F9, F11"
file_130_System.AddIn.dll,BENIGN,4.4,"F3, F9, F11"
file_131_System.AddIn.Contract.dll,BENIGN,-10.0,"F1, F9"
file_132_System.ComponentModel.DataAnnotations.dll,BENIGN,-10.0,"F1, F9"
file_133_System.configuration.dll,BENIGN,-2.8,"F1, F3, F9"
file_134_System.Configuration.Install.dll,BENIGN,-10.0,"F1, F9"
file_135_System.Core.dll,BENIGN,4.28,"F3, F9, F11"
file_136_System.Data.DataSetExtensions.dll,BENIGN,-3.2,"F1, F3, F9"
file_137_System.Data.Entity.dll,BENIGN,5.79,"F3, F9, F11"
file_138_System.Data.Entity.Design.dll,BENIGN,4.01,"F3, F9, F11"
file_139_System.Data.Linq.dll,BENIGN,5.07,"F3, F9, F11"
file_13_twain_32.dll,BENIGN,19.43,"F3, F9, F11"
file_140_System.Data.Services.dll,BENIGN,3.98,"F3, F9, F11"
file_141_System.Data.Services.Client.dll,BENIGN,4.25,"F3, F9, F11"
file_142_System.Data.Services.Design.dll,BENIGN,4.32,"F3, F9, F11"
file_143_System.Data.SqlXml.dll,BENIGN,5.4,"F3, F9, F11"
file_144_System.Deployment.dll,BENIGN,7.03,"F3, F9, F11"
file_145_System.Design.dll,BENIGN,3.77,"F3, F9, F11"
file_146_System.DirectoryServices.dll,BENIGN,5.68,"F3, F9, F11"
file_147_System.DirectoryServices.AccountManagement.dll,BENIGN,4.89,"F3, F9, F11"
file_148_System.DirectoryServices.Protocols.dll,BENIGN,4.49,"F3, F9, F11"
file_149_System.Drawing.dll,BENIGN,4.72,"F3, F9, F11"
file_14_AcRes.dll,BENIGN,45.0,"F1, F5, F6, F9, F10"
file_150_System.Drawing.Design.dll,BENIGN,-2.78,"F1, F3, F9"
file_151_System.IdentityModel.dll,BENIGN,4.24,"F3, F9, F11"
file_152_System.IdentityModel.Selectors.dll,BENIGN,-10.0,"F1, F9"
file_153_System.IO.Log.dll,BENIGN,4.38,"F3, F9, F11"
file_154_System.Management.dll,BENIGN,4.93,"F3, F9, F11"
file_155_System.Management.Automation.dll,BENIGN,4.26,"F3, F9, F11"
file_156_System.Management.Automation.Resources.dll,BENIGN,-10.0,"F1, F9"
file_157_System.Management.Instrumentation.dll,BENIGN,4.19,"F3, F9, F11"
file_158_System.Messaging.dll,BENIGN,5.59,"F3, F9, F11"
file_159_System.Net.dll,BENIGN,-10.0,"F1, F9"
file_15_Microsoft.DirectX.dll,BENIGN,10.4,"F3, F11"
file_160_System.Runtime.Remoting.dll,BENIGN,5.22,"F3, F9, F11"
file_161_System.Runtime.Serialization.dll,BENIGN,4.06,"F3, F9, F11"
file_162_System.Runtime.Serialization.Formatters.Soap.dll,BENIGN,-3.04,"F1, F3, F9"
file_163_System.Security.dll,BENIGN,5.72,"F3, F9, F11"
file_164_System.ServiceModel.dll,BENIGN,5.03,"F3, F9, F11"
file_165_System.ServiceModel.Install.dll,BENIGN,-10.0,"F1, F9"
file_166_System.ServiceModel.WasHosting.dll,BENIGN,-10.0,"F1, F9"
file_167_System.ServiceModel.Web.dll,BENIGN,4.52,"F3, F9, F11"
file_168_System.ServiceProcess.dll,BENIGN,-2.53,"F1, F3, F9"
file_169_System.Speech.dll,BENIGN,-1.5,"F3, F11"
file_16_Microsoft.DirectX.AudioVideoPlayback.dll,BENIGN,0.05,"F3, F11"
file_170_System.Web.Abstractions.dll,BENIGN,-10.0,"F1, F9"
file_171_System.Web.DynamicData.dll,BENIGN,4.84,"F3, F9, F11"
file_172_System.Web.DynamicData.Design.dll,BENIGN,-10.0,"F1, F9"
file_173_System.Web.Entity.dll,BENIGN,-2.93,"F1, F3, F9"
file_174_System.Web.Entity.Design.dll,BENIGN,-2.91,"F1, F3, F9"
file_175_System.Web.Extensions.dll,BENIGN,5.68,"F3, F9, F11"
file_176_System.Web.Extensions.Design.dll,BENIGN,4.34,"F3, F9, F11"
file_177_System.Web.Mobile.dll,BENIGN,4.03,"F3, F9, F11"
file_178_System.Web.RegularExpressions.dll,BENIGN,-10.0,"F1, F9"
file_179_System.Web.Routing.dll,BENIGN,-3.12,"F1, F3, F9"
file_17_Microsoft.DirectX.Diagnostics.dll,BENIGN,-8.06,"F1, F3"
file_180_System.Web.Services.dll,BENIGN,-3.33,"F1, F3, F9"
file_181_System.Windows.Forms.dll,BENIGN,5.93,"F3, F9, F11"
file_182_System.Windows.Presentation.dll,BENIGN,-2.92,"F1, F3, F9"
file_183_System.Workflow.Activities.dll,BENIGN,5.77,"F3, F9, F11"
file_184_System.Workflow.ComponentModel.dll,BENIGN,5.67,"F3, F9, F11"
file_185_System.Workflow.Runtime.dll,BENIGN,-3.03,"F1, F3, F9"
file_186_System.WorkflowServices.dll,BENIGN,6.0,"F3, F9, F11"
